beer name,Brewery,Location,State,Style,,Table,Score,,rAvg,Bro Score,ABV,Ratings
Backyahd India Pale Ale,Foolproof Brewing Company,Pawtucket,RI,American IPA,,90,84,,3.74,N/A,6.00%,34
Barstool American Golden Ale,Foolproof Brewing Company,Pawtucket,RI,American Blonde Ale,,90,80,,3.44,N/A,4.50%,14
La Ferme Urbaine Farmhouse Ale,Foolproof Brewing Company,Pawtucket,RI,Saison / Farmhouse Ale,,90,87,,4.06,N/A,7.80%,11
Raincloud Robust Porter,Foolproof Brewing Company,Pawtucket,RI,American Porter,,90,88,,4.05,85,6.50%,24
Revery,Foolproof Brewing Company,Pawtucket,RI,Russian Imperial Stout,,90,87,,4.05,N/A,10.70%,10
Bitter Markie,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,American Double / Imperial IPA,,53,N/A,,4.56,N/A,8.00%,3
Higher Ground,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,American Wild Ale,,53,N/A,,0,N/A,9.00%,0
Houblon Or,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,Belgian Pale Ale,Belgian,53,N/A,,0,N/A,6.40%,0
Imperial Stout,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,Russian Imperial Stout,,53,N/A,,3.94,N/A,9.00%,8
Mama Said Hop You Out,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,American Double / Imperial IPA,,53,N/A,,0,N/A,8.50%,0
Munton Chuck Porter,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,English Porter,,53,N/A,,3.5,N/A,5.70%,1
Purgatoire,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,American Wild Ale,,53,N/A,,0,N/A,6.50%,0
Ridiculous,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,American Wild Ale,,53,N/A,,0,N/A,6.80%,0
The Night's Watch,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,Belgian Strong Dark Ale,Belgian,53,N/A,,0,N/A,10.00%,0
Tripel Bliss,"Franklin's Restaurant, Brewery & General Store",Hyattsville,MD,Tripel,,53,N/A,,3.73,85,9.00%,7
Downtown Smoky Brown,Gardner Ale House,Gardner,MA,American Brown Ale,,58,N/A,,3.5,N/A,5.70%,1
Face-off,Gardner Ale House,Gardner,MA,American Double / Imperial IPA,,58,N/A,,3.9,N/A,9.50%,6
Nightcrawler,Gardner Ale House,Gardner,MA,American Black Ale,,58,N/A,,3.66,N/A,6.10%,2
Vienna Lager,Gardner Ale House,Gardner,MA,Vienna Lager,,58,N/A,,4.57,N/A,5.20%,2
25th Anniversary Ale,Goose Island Beer Co.,Chicago,IL,Extra Special / Strong Bitter (ESB),,143,84,,3.72,N/A,6.40%,90
Bourbon County Brand Stout,Goose Island Beer Co.,Chicago,IL,American Double / Imperial Stout,,143,100,,4.54,95,15.00%,4487
India Pale Ale,Goose Island Beer Co.,Chicago,IL,English India Pale Ale (IPA),,143,86,,3.82,86,5.90%,1975
