Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
No Name IPA,Cody Brewing Company,"Amesbury, MA",41,74,3.12,48,N/A,American IPA,5.50%,http://beeradvocate.com/beer/profile/16456/63474
Original Amber Ale,Cody Brewing Company,"Amesbury, MA",41,83,3.69,17,N/A,American Amber / Red Ale,5.90%,http://beeradvocate.com/beer/profile/16456/68351
S.O.S.,Cody Brewing Company,"Amesbury, MA",41,84,3.76,39,N/A,Belgian IPA,5.50%,http://beeradvocate.com/beer/profile/16456/39951
Wheelers Brown,Cody Brewing Company,"Amesbury, MA",41,80,3.43,25,N/A,American Brown Ale,5.70%,http://beeradvocate.com/beer/profile/16456/62905
Cara De Luna Black Ale,Crazy Mountain Brewing Company,"Edwards, CO",83,N/A,3.78,8,N/A,American Black Ale,5.50%,http://beeradvocate.com/beer/profile/23315/90277
Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,"Edwards, CO",83,80,3.51,70,N/A,American Amber / Red Ale,5.25%,http://beeradvocate.com/beer/profile/23315/60552
Lava Lake Wit,Crazy Mountain Brewing Company,"Edwards, CO",83,76,3.26,42,N/A,Witbier,5.20%,http://beeradvocate.com/beer/profile/23315/72876
Mountain Livin' Pale Ale,Crazy Mountain Brewing Company,"Edwards, CO",83,79,3.45,76,N/A,American Pale Ale (APA),6.00%,http://beeradvocate.com/beer/profile/23315/73080
Geary's Hampshire Special Ale,D.L. Geary Brewing Company,"Portland, ME",15,89,3.96,450,98,English Strong Ale,7.00%,http://beeradvocate.com/beer/profile/62/1630
Geary's IPA,D.L. Geary Brewing Company,"Portland, ME",15,78,3.39,47,N/A,English India Pale Ale (IPA),6.00%,http://beeradvocate.com/beer/profile/62/67092
Geary's London Porter,D.L. Geary Brewing Company,"Portland, ME",15,85,3.76,210,92,English Porter,4.20%,http://beeradvocate.com/beer/profile/62/193
