Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Dale's Pale Ale,Oskar Blues Brewery & Tasty Weasel Tap Room,"Longmont, CO",10,89,3.95,3254,81,American Pale Ale (APA),6.50%,http://beeradvocate.com/beer/profile/19472/6518
G'Knight Imperial Red Ale,Oskar Blues Brewery & Tasty Weasel Tap Room,"Longmont, CO",10,92,4.13,2071,90,American Double / Imperial IPA,8.70%,http://beeradvocate.com/beer/profile/19472/8919
Mama's Little Yella Pils,Oskar Blues Brewery & Tasty Weasel Tap Room,"Longmont, CO",10,82,3.61,1264,84,Czech Pilsener,5.30%,http://beeradvocate.com/beer/profile/19472/48139
Old Chub - Scottish Style Ale,Oskar Blues Brewery & Tasty Weasel Tap Room,"Longmont, CO",10,90,4.01,2377,90,Scotch Ale / Wee Heavy,8.00%,http://beeradvocate.com/beer/profile/19472/14712
Otter Creek Copper Ale,Otter Creek Brewing / Wolaver's,"Middlebury, VT",112,82,3.62,572,91,Altbier,5.00%,http://beeradvocate.com/beer/profile/119/434
Otter Creek Vermont Lager,Otter Creek Brewing / Wolaver's,"Middlebury, VT",112,82,3.61,87,91,German Pilsener,5.00%,http://beeradvocate.com/beer/profile/119/10376
Monumental IPA,Port City Brewing,"Alexandria, VA",82,79,3.45,130,82,American IPA,6.30%,http://beeradvocate.com/beer/profile/24791/66443
Optimal Wit,Port City Brewing,"Alexandria, VA",82,84,3.74,107,83,Witbier,5.00%,http://beeradvocate.com/beer/profile/24791/65924
Porter,Port City Brewing,"Alexandria, VA",82,90,4.06,200,89,American Porter,7.50%,http://beeradvocate.com/beer/profile/24791/66158
"December 6th, 1855 EIP",Pretty Things Beer & Ale Project,"Cambridge, MA",1,92,4.16,160,95,English Porter,6.00%,http://beeradvocate.com/beer/profile/18371/68662
Jack D'or,Pretty Things Beer & Ale Project,"Cambridge, MA",1,91,4.08,984,96,Saison / Farmhouse Ale,6.40%,http://beeradvocate.com/beer/profile/18371/46290
Our Finest Regards,Pretty Things Beer & Ale Project,"Cambridge, MA",1,91,4.07,332,89,English Barleywine,13.50%,http://beeradvocate.com/beer/profile/18371/64058
Saint Botolph's Town,Pretty Things Beer & Ale Project,"Cambridge, MA",1,91,4.1,455,94,English Brown Ale,5.90%,http://beeradvocate.com/beer/profile/18371/47905
Curve Ball Blonde Ale,"Pyramid Breweries, Inc.","Seattle, WA",34,75,3.26,281,75,K̦lsch,5.00%,http://beeradvocate.com/beer/profile/403/51959
Outburst Imperial IPA,"Pyramid Breweries, Inc.","Seattle, WA",34,85,3.78,366,89,American Double / Imperial IPA,8.50%,http://beeradvocate.com/beer/profile/403/57934
Redhook Long Hammer IPA,Redhook Brewery & Cataqua Public House,"Portsmouth, NH",67,75,3.25,1791,67,American IPA,6.20%,http://beeradvocate.com/beer/profile/153/34688
Shipyard Export Ale,Shipyard Brewing Co.,"Portland, ME",118,76,3.33,597,78,American Blonde Ale,5.10%,http://beeradvocate.com/beer/profile/139/1120
Shipyard Summer Ale,Shipyard Brewing Co.,"Portland, ME",118,71,3.04,289,64,American Pale Wheat Ale,4.80%,http://beeradvocate.com/beer/profile/139/287
He'Brew Bittersweet Lenny's R.I.P.A.,Shmaltz Brewing Company,"Clifton Park, NY",48,91,4.06,1207,99,American Double / Imperial IPA,10.00%,http://beeradvocate.com/beer/profile/262/30970
Sierra Nevada Hoptimum Imperial IPA,Sierra Nevada Brewing Co.,"Chico, CA",31,93,4.19,2955,94,American Double / Imperial IPA,10.40%,http://beeradvocate.com/beer/profile/140/55939
Sierra Nevada Kellerweis Hefeweizen,Sierra Nevada Brewing Co.,"Chico, CA",31,91,4.08,2193,96,Hefeweizen,4.80%,http://beeradvocate.com/beer/profile/140/48434
Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,"Chico, CA",31,91,4.07,5647,92,American Pale Ale (APA),5.60%,http://beeradvocate.com/beer/profile/140/276
Sierra Nevada Summerfest Lager,Sierra Nevada Brewing Co.,"Chico, CA",31,83,3.68,2321,89,Czech Pilsener,5.00%,http://beeradvocate.com/beer/profile/140/3558
Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.,"Chico, CA",31,93,4.17,5409,99,American IPA,7.20%,http://beeradvocate.com/beer/profile/140/30420
